It;T;Melhor;Corrente
999;5;311423;311423
1000;5;311423;311423
1001;4.5;311423;311423
1002;4.5;311423;311423
1003;4.5;311423;311423
1004;4.5;311423;311423
1005;4.5;311423;311423
1006;4.5;311423;311423
1007;4.5;311423;311423
1008;4.5;311423;311423
1009;4.5;311423;311423
1010;4.5;311423;311423
1011;4.5;311423;311423
1012;4.5;311423;311423
1013;4.5;311423;311423
1014;4.5;311423;311423
1015;4.5;311423;311423
1016;4.5;311423;311423
1017;4.5;311423;311423
1018;4.5;311423;311423
1019;4.5;311423;311423
1020;4.5;311423;311423
1021;4.5;311423;311423
1022;4.5;311423;311423
1023;4.5;311423;311423
1024;4.5;311423;311423
1025;4.5;311423;311423
1026;4.5;311423;311423
1027;4.5;311423;311423
1028;4.5;311423;311423
1029;4.5;311423;311423
1030;4.5;311423;311423
1031;4.5;311423;311423
1032;4.5;311423;311423
1033;4.5;311423;311423
1034;4.5;311423;311423
1035;4.5;311423;311423
1036;4.5;311423;311423
1037;4.5;311423;311423
1038;4.5;311423;311423
1039;4.5;311423;311423
1040;4.5;311423;311423
1041;4.5;311423;311423
1042;4.5;311423;311423
1043;4.5;311423;311423
1044;4.5;311423;311423
1045;4.5;311423;311423
1046;4.5;311423;311423
1047;4.5;311423;311423
1048;4.5;311423;311423
1049;4.5;311423;311423
1050;4.5;311423;311423
1051;4.5;311423;311423
1052;4.5;311423;311423
1053;4.5;311423;311423
1054;4.5;311423;311423
1055;4.5;311423;311423
1056;4.5;311423;311423
1057;4.5;311423;311423
1058;4.5;311423;311423
1059;4.5;311423;311423
1060;4.5;311423;311423
1061;4.5;311423;311423
1062;4.5;311423;311423
1063;4.5;311423;311423
1064;4.5;311423;311423
1065;4.5;311423;311423
1066;4.5;311423;311423
1067;4.5;311423;311423
1068;4.5;311423;311423
1069;4.5;311423;311423
1070;4.5;311423;311423
1071;4.5;311423;311423
1072;4.5;311423;311423
1073;4.5;311423;311423
1074;4.5;311423;311423
1075;4.5;311423;311423
1076;4.5;311423;311423
1077;4.5;311423;311423
1078;4.5;311423;311423
1079;4.5;311423;311423
1080;4.5;311423;311423
1081;4.5;311423;311423
1082;4.5;311423;311423
1083;4.5;311423;311423
1084;4.5;311423;311423
1085;4.5;311423;311423
1086;4.5;311423;311423
1087;4.5;311423;311423
1088;4.5;311423;311423
1089;4.5;311423;311423
1090;4.5;311423;311423
1091;4.5;301547;301547
1092;4.5;301547;301547
1093;4.5;301547;301547
1094;4.5;301547;301547
1095;4.5;301547;301547
1096;4.5;301547;301547
1097;4.5;301547;301547
1098;4.5;301547;301547
1099;4.5;301547;301547
1100;4.5;301547;301547
1101;4.5;301547;301547
1102;4.5;301547;301547
1103;4.5;301547;301547
1104;4.5;301547;301547
1105;4.5;301547;301547
1106;4.5;301547;301547
1107;4.5;301547;301547
1108;4.5;301547;301547
1109;4.5;301547;301547
1110;4.5;301547;301547
1111;4.5;301547;301547
1112;4.5;301547;301547
1113;4.5;301547;301547
1114;4.5;301547;301547
1115;4.5;301547;301547
1116;4.5;301547;301547
1117;4.5;301547;301547
1118;4.5;301547;301547
1119;4.5;301547;301547
